"FLWS_nasdaq","Florists"
"BANF_nasdaq","Banks - NEC"
"BKMU_nasdaq","Commercial Banks"
"BOCH_nasdaq","Banks - NEC"
"BMRC_nasdaq","Commercial Banks"
"BKSC_nasdaq","Commercial Banks"
"BOTJ_nasdaq","Banks - NEC"
"OZRK_nasdaq","Banks - NEC"
"BFIN_nasdaq","Banks - NEC"
"BANR_nasdaq","Banks - NEC"
"BBSI_nasdaq","Outsourcing &amp; Staffing Services"
"BSET_nasdaq","Furniture"
"BV_nasdaq","Enterprise Software"
"BCBP_nasdaq","Commercial Banks"
"BCSB_nasdaq","Commercial Banks"
"BECN_nasdaq","Construction Supplies &amp; Fixtures Wholesale"
"BBGI_nasdaq","Radio Broadcasting"
"BEBE_nasdaq","Women&#39;s Clothing"
"BBBY_nasdaq","Home Furnishings Retailers - NEC"
"BELFA_nasdaq","Electronic Component"
"BELFB_nasdaq","Electronic Component"
"BNCL_nasdaq","Commercial Banks"
"BERK_nasdaq","Banks - NEC"
"BGMD_nasdaq","Diagnostic &amp; Testing Substances Manufacturers"
"BGCP_nasdaq","Brokerage Services"
"BGSCU_nasdaq","Shell Companies"
"BGFV_nasdaq","Sporting Goods Stores"
"BASI_nasdaq","Biotechnology &amp; Medical Research - NEC"
"BCRX_nasdaq","Bio Therapeutic Drugs"
"BDSI_nasdaq","Bio Therapeutic Drugs"
"BIOF_nasdaq","Ethanol Fuels"
"BIIB_nasdaq","Bio Therapeutic Drugs"
"BIOL_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"BLRX_nasdaq","Biotechnology &amp; Medical Research - NEC"
"BMRN_nasdaq","Generic Pharmaceuticals"
"BRLI_nasdaq","Medical &amp; Diagnostic Laboratories"
"BPAX_nasdaq","Biotechnology &amp; Medical Research - NEC"
"BIOS_nasdaq","Hospitals, Clinics &amp; Primary Care Services"
"BSTC_nasdaq","Bio Therapeutic Drugs"
"BSPM_nasdaq","Bio Therapeutic Drugs"
"BOTA_nasdaq","Bio Therapeutic Drugs"
"BDMS_nasdaq","Hospitals, Clinics &amp; Primary Care Services"
"BJRI_nasdaq","Commercial Food Services"
"BBOX_nasdaq","Integrated Telecommunications Services - NEC"
"BDE_nasdaq","Sporting &amp; Outdoor Goods"
"BLKB_nasdaq","Software - NEC"
"HAWK_nasdaq","Consumer Credit Cards Services"
"BKCC_nasdaq","Closed End Funds"
"ADRA_nasdaq","Investment Trusts"
"ADRD_nasdaq","Investment Trusts"
"ADRE_nasdaq","Exchange Traded Funds - NEC"
"ADRU_nasdaq","Investment Trusts"
"BLMN_nasdaq","Restaurants &amp; Bars - NEC"
"BCOR_nasdaq","Internet Services - NEC"
"NILE_nasdaq","Jewelry &amp; Watch Retailers"
"MNGLU_nasdaq","Shell Companies"
"BFLY_nasdaq","Women&#39;s Apparel Retailers"
"BKEP_nasdaq","Oil &amp; Gas Transportation Services - NEC"
"BPHX_nasdaq","IT Services &amp; Consulting - NEC"
"BMC_nasdaq","Enterprise Software"
"BNCN_nasdaq","Commercial Banks"
"BOBE_nasdaq","Commercial Food Services"
"BODY_nasdaq","Women&#39;s Clothing"
"BOFI_nasdaq","Banks - NEC"
"WIFI_nasdaq","Mobile Application Software"
"BOKF_nasdaq","Commercial Banks"
"BOLT_nasdaq","Oil Related Equipment"
"BONA_nasdaq","Entertainment Production - NEC"
"BNSO_nasdaq","Electronic Component"
"BAMM_nasdaq","Book &amp; Magazine Retailers"
"BPFH_nasdaq","Private Banks"
"EPAY_nasdaq","Software - NEC"
"BDBD_nasdaq","Food Retail &amp; Distribution - NEC"
"BBRG_nasdaq","Hotels &amp; Motels"
"BBEP_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"BDGE_nasdaq","Banks - NEC"
"BBNK_nasdaq","Commercial Banks"
"BLIN_nasdaq","Enterprise Software"
"BRID_nasdaq","Food Processing - NEC"
"BCOV_nasdaq","IT Services &amp; Consulting - NEC"
"BRCM_nasdaq","Semiconductors - NEC"
"BSFT_nasdaq","Software - NEC"
"BVSN_nasdaq","Software - NEC"
"BYFC_nasdaq","Banks - NEC"
"BWEN_nasdaq","Wind Systems &amp; Equipment"
"BRCD_nasdaq","Communications &amp; Networking - NEC"
"BRKL_nasdaq","Banks - NEC"
"BRKS_nasdaq","Computer Hardware - NEC"
"BRKR_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"BMTC_nasdaq","Banks - NEC"
"BLMT_nasdaq","Banks - NEC"
"BSDM_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"BSQR_nasdaq","Software - NEC"
"BTUI_nasdaq","Testing &amp; Measuring Equipment"
"BWLD_nasdaq","Commercial Food Services"
"BLDR_nasdaq","Construction Supplies &amp; Fixtures - NEC"
"CFFI_nasdaq","Banks - NEC"
"CHRW_nasdaq","Ground Freight &amp; Logistics - NEC"
"CA_nasdaq","Server &amp; Database Software"
"CCMP_nasdaq","Semiconductors - NEC"
"CACH_nasdaq","Women&#39;s Apparel Retailers"
"CDNS_nasdaq","IT Services &amp; Consulting - NEC"
"CADX_nasdaq","Biopharmaceuticals"
"CDZI_nasdaq","Vegetable, Fruit &amp; Nut Farming"
"CZR_nasdaq","Casinos &amp; Gaming - NEC"
"CSTE_nasdaq","Construction Supplies &amp; Fixtures - NEC"
"PRSS_nasdaq","E-commerce &amp; Auction Services"
"CLMS_nasdaq","Investment Banking"
"CHY_nasdaq","Closed End Funds"
"CHI_nasdaq","Closed End Funds"
"CHW_nasdaq","Closed End Funds"
"CGO_nasdaq","Closed End Funds"
"CSQ_nasdaq","Closed End Funds"
"CAMP_nasdaq","Wireless Telecommunications Services - NEC"
"CVGW_nasdaq","Fishing &amp; Farming Wholesale"
"CFNB_nasdaq","Investment Banking"
"CALD_nasdaq","Software - NEC"
"CALM_nasdaq","Poultry Farming"
"CLMT_nasdaq","Petroleum Refining"
"ABCD_nasdaq","Personal Services - NEC"
"CAFI_nasdaq","Banks - NEC"
"CAC_nasdaq","Banks - NEC"
"CAMT_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"CSIQ_nasdaq","Photovoltaic Solar Systems &amp; Equipment"
"CPHC_nasdaq","Casinos &amp; Gaming - NEC"
"CBNJ_nasdaq","Banks - NEC"
"CPLA_nasdaq","General Education Services"
"CBF_nasdaq","Banks - NEC"
"CCBG_nasdaq","Banks - NEC"
"CPLP_nasdaq","Deep Sea Freight"
"CSWC_nasdaq","Investment Trusts"
"CFFN_nasdaq","Banks - NEC"
"CPST_nasdaq","Turbine Manufacturing"
"CARB_nasdaq","IT Services &amp; Consulting - NEC"
"CRDC_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"CFNL_nasdaq","Banks - NEC"
"CRME_nasdaq","Biopharmaceuticals"
"BEAT_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"CSII_nasdaq","Medical Equipment, Supplies &amp; Distribution - NEC"
"CATM_nasdaq","Computer Hardware - NEC"
"CECO_nasdaq","General Education Services"
"CKEC_nasdaq","Movie Theaters &amp; Movie Products"
"CLBH_nasdaq","Banks - NEC"
"CART_nasdaq","Commercial Banks"
"CRZO_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"CRRB_nasdaq","Banks - NEC"
"TAST_nasdaq","Quick Service Restaurants"
"CARV_nasdaq","Banks - NEC"
"CASM_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"CACB_nasdaq","Banks - NEC"
"CSCD_nasdaq","Testing &amp; Measuring Equipment"
"CWST_nasdaq","Waste Management, Disposal &amp; Recycling Services"
"CASY_nasdaq","Supermarkets &amp; Convenience Stores"
"CASS_nasdaq","Transaction &amp; Payment Services"
"CPRX_nasdaq","Bio Therapeutic Drugs"
"CTRX_nasdaq","Managed Health Care - NEC"
"CATY_nasdaq","Retail &amp; Mortgage Banks"
"CVCO_nasdaq","Wood Products"
"CAVM_nasdaq","Semiconductors - NEC"
"CBEY_nasdaq","Wired Telecommunications Carriers"
"CBOE_nasdaq","Financial &amp; Commodity Market Operators - NEC"
"CECE_nasdaq","Purification &amp; Treatment Equipment"
"CELG_nasdaq","Biotechnology &amp; Medical Research - NEC"
"CTIC_nasdaq","Biotechnology &amp; Medical Research - NEC"
"CLDX_nasdaq","Biopharmaceuticals"
"CLSN_nasdaq","Biotechnology &amp; Medical Research - NEC"
"CEMP_nasdaq","Bio Therapeutic Drugs"
"CNBC_nasdaq","Banks - NEC"
"CSFL_nasdaq","Banks - NEC"
"CETV_nasdaq","Broadcasting - NEC"
"CFBK_nasdaq","Commercial Banks"
"CENT_nasdaq","Other Specialty Retailers - NEC"
"CENTA_nasdaq","Other Specialty Retailers - NEC"
"CVCY_nasdaq","Commercial Banks"
"CENX_nasdaq","Primary Aluminum Production"
"CNBKA_nasdaq","Banks - NEC"
"CNTY_nasdaq","Casinos"
"CPHD_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"CRNT_nasdaq","Communications &amp; Networking - NEC"
"CERE_nasdaq","Renewable Fuels - NEC"
