FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
291105000,ACAS_nasdaq,12.77,9.5,15.24,3163990,13.2317,13.6358,12.77,11.01,0.6
3107000,ANCI_nasdaq,1.8,1.38,2.1,6312,1.9057,1.8613,N/A,N/A,0.5
4138000,AETI_nasdaq,7.25,4.01,7.45,29352,6.4369,5.4945,10.98,9.42,0.4
1567000,AMIC_nasdaq,6.99,3.67,8.2,2942,7.174,6.1635,N/A,N/A,1.7
7500000,AMNB_nasdaq,23.49,18.5,24.3,16208,22.3469,21.0861,12.7,15.35,21.1
3340000,ANAT_nasdaq,101.83,63.68,103.53,20503,98.9683,86.2021,N/A,N/A,5.3
5015000,APFC_nasdaq,28.34,8.6,29.77,47708,27.4903,22.3639,12.01,11.38,0.9
16845000,APEI_nasdaq,38.75,24.88,42.17,147797,38.3851,36.3782,14.68,13.45,13.9
9426000,ARII_nasdaq,31.5,23.26,47.1,303434,33.2471,37.5128,9,7.66,5.3
135017000,ARCP_nasdaq,14.8242,10.35,18.05,3814150,15.5611,14.8252,16.66,13.24,0.6
6747000,AMRB_nasdaq,8.28,6.21,9.53,12131,8.2297,7.591,28.55,25.88,1.4
7947000,ASEI_nasdaq,56.03,54.44,70,38219,58.9174,62.3351,22.96,21.39,7.4
24028000,AMSWA_nasdaq,8.8,7.16,9,38486,8.4723,8.3541,22,18.33,11.6
45445000,AMSC_nasdaq,2.52,2.12,4.96,623262,2.5446,2.6802,N/A,N/A,6.3
10778000,AMWD_nasdaq,36.79,16.27,39,127288,35.3854,32.3694,24.53,18.12,3.5
8123000,CRMT_nasdaq,42.96,35.89,50.59,27325,44.528,44.2695,11.87,10.5,23.6
22967000,ABCB_nasdaq,17.72,10.21,18.08,55475,16.4754,14.4157,18.85,11.36,35
17894000,AMSF_nasdaq,33.5,22,36.15,61538,33.4706,31.7456,16.42,12.84,5.1
15428000,ASRV_nasdaq,3.03,2.66,3.25,27189,3.0189,3.0242,N/A,N/A,9.8
0,ASRVP_nasdaq,26.66,25.01,30.25,750,26.6903,26.2658,N/A,N/A,N/A
30251000,ASCA_nasdaq,26.4,15.04,27.18,415114,26.3031,26.2468,13.2,12.11,2.2
8992000,ATLO_nasdaq,22.84,18.39,23.72,11183,21.4606,20.9875,N/A,N/A,18.7
749264000,AMGN_nasdaq,96.06,73.61,114.95,3796760,100.176,95.8746,13.2,11.59,2.6
25619000,FOLD_nasdaq,2.41,2.06,6.89,397477,2.9657,3.2329,N/A,N/A,14.4
60007000,AMKR_nasdaq,4.33,3.55,5.58,936644,4.3951,4.3223,8.02,6.19,25.8
28236000,AMPE_nasdaq,5.93,2.55,7.17,348658,5.6494,4.6529,N/A,N/A,10.7
30981000,AMSG_nasdaq,35.58,25,36.76,139755,35.7763,32.874,16.47,14.58,9.4
8869000,ASYS_nasdaq,6.62,2.9,7.93,61311,5.4049,4.1874,N/A,N/A,0.7
34736000,AFSI_nasdaq,37.2,23.9,38.35,474767,33.9331,33.1003,11.55,9.95,22.5
31082000,AMRS_nasdaq,2.96,2.16,4.51,251527,2.8531,3.0086,N/A,N/A,26.3
31305000,ANAC_nasdaq,5.41,3,8.25,504189,5.4937,5.2095,N/A,N/A,5.6
79244000,ANAD_nasdaq,2.15,1.05,2.87,676884,2.0737,2.1596,N/A,N/A,2.5
305003000,ADI_nasdaq,45.31,35.61,47.27,2330550,45.6114,44.6575,21.47,17.7,1.9
12123000,ALOG_nasdaq,74.49,60.74,84.71,45517,77.2091,76.9241,27.29,21.65,12.4
4425000,ANLY_nasdaq,3.85,2.74,4.35,11006,3.9883,3.7091,N/A,N/A,0.7
8885000,ANEN_nasdaq,22.84,17.61,24.75,44445,23.674,21.2014,16.55,15.33,11.1
1736000,ANCB_nasdaq,18,10.45,19,1095,17.8754,15.5121,62.07,72,2
4674000,AMCF_nasdaq,0.56,0.45,2.24,18188,0.5826,0.6642,N/A,N/A,0.1
0,ANDA_nasdaq,9.93,9.6,12.66,759,9.9511,9.9507,N/A,N/A,0.2
0,ANDAU_nasdaq,10.08,9.9,10.36,94,10.1163,10.0484,N/A,N/A,N/A
0,ANDAW_nasdaq,0.24,0,0,0,0,0,N/A,N/A,N/A
52318000,ANGI_nasdaq,26.66,8.94,27.66,1002530,25.1466,19.0199,N/A,80.79,14.9
17524000,ANGO_nasdaq,11.26,9.52,12.91,93259,11.0191,11.2012,33.12,34.12,13.5
10989000,ANIK_nasdaq,17.74,9.13,18.11,82028,15.682,13.0088,18.1,15.56,6.2
92459000,ANSS_nasdaq,72.56,55.45,81.55,343250,73.9043,74.9519,24.19,21.99,3.8
90857000,ATRS_nasdaq,4.35,3.35,5.58,995234,4.0963,3.8122,N/A,N/A,11.6
124983000,ANTH_nasdaq,0.4876,0.46,1.79,700159,0.564,0.6209,N/A,N/A,5.5
7513000,APAGF_nasdaq,12.15,8.82,23.3,27236,11.9466,12.3611,N/A,N/A,10.7
23343000,ATNY_nasdaq,2.66,2.31,3.69,76453,2.6909,2.7008,N/A,N/A,10.8
27610000,APOG_nasdaq,25.17,14.57,30.26,312323,25.6763,25.7825,26.22,16.34,7.2
99290000,APOL_nasdaq,18.08,15.98,36.77,2767500,20.1363,19.0564,6.41,9.83,8.6
0,AINV_nasdaq,7.81,7.21,9.08,2692300,8.1054,8.4538,9.3,8.98,2.1
